query	label
образец упд	2
чек из ресторана где проводили встречу с контрагентами	2
расчетчик больничный лист	4
калькулятор прогрессивной ставки ндфл	4
должностные инструкции	2
должностные инструкции кладовщика	2
должностные инструкции крановщика	2
положение о бригадной работе	2
положение о бригаде	2
доверенность на получение банковской гарантии	2
доверенность на главного бухгалтера на подпись акта сверки	2
доверенность на главного бухгалтера на подпись упд	2
должностная инструкция заведующего складом	2
письмо контрагенту, который будет оплачивать ваши счета	2
образцы платежек с новыми кбк	2
образец заявления о зачете взаимных требований	2
заявление на увольнение генерального директора	2
заявление на увольнение	2
платежное поручение	2
платежное поручение на командировку	2
положение о служебных командировках работников	2
служебная записка о компенсации расходов на такси (до аэропорта)	2
договор аренды транспортного средства с экипажем у физического лица	2
акт приема-передачи транспортного средства	2
акт приема-передачи транспортного средства по договору аренды	2
исправление в трудовой	3
договор процентного займа	2
нотариальное заверение решений	3
прием на работу фрагмент	2
смена фамилии трудовая книжка	3
запись о переводе	3
договор выполнения работ	2
счет фактура	2
счет фактура и упд в договоре	3
новые образцы счетов-фактур и упд с 1 октября.	3
заявление о перечислении вознаграждения по гпх третьему лицу	2
заявление о переводе заработной платы третьему лицу	2
заявление сотрудника по исполнительному листу	2
путевой лист 2024 форма	2
форма 1-технология	2
справка для родителя	2
вознаграждение по агентскому договору кассовый чек	3
декларация по усн на бумаге	3
увольнение образец	2
увольнение образец трудовой	2
справка для адвоката	2
дополнительное соглашение о переводе в другое подразделение	2
перевод на совместительство запись в трудовой	3
перевод на совместительство	3
пример заполнения промежуточного ликвидационного баланса	2
калькулятор оклада исходя из рабочего времени	4
дистанционный трудовой договор с бухгалтером	2
трудовой договор с главным бухгалтером по совместительству	2
образец приказа на командировку	2
образец платежки пени по страховым взносам на травматизм	2
калькулятор пеней по налогам и взносам	4
справка об оплате за обучение для вычета	2
чек-лист для оплаты счетов	2
чек-лист для оплаты счетов поставщикам	2
чек-лист	2
чек-лист поставщики	2
чек-лист работы с поставщиками	2
расчет о доходах иностранцам составляйте по новой форме: шпаргалки с подсказками и образец	3
оформить положение о дмс	3
должностные инструкции. справочник с образцами	2
справочник счетов и проводок	2
документы при возмещение затрат на личное авто	3
договор пожертвования денежных средств	2
дата акта	3
заявление о замене лет расчетного периода для оплаты больничного	2
подпись авансовых отчетов электронно	3
подписание авансовых отчетов укэп	3
подписание авансовых отчетов электронно	3
подписание авансовых отчетов электронной подписью	3
подписание авансовых отчетов пэп	3
образец графика документооборота в табличной форме	2
уведомление о заключении трудового договора с иностранным гражданином	2
форма 6 по воинскому учету	2
Бланк формы 6 по воинскому учету	2
декларация соут	2
работников новое заявление на выплату зарплаты и пособий	2
ндфл для учетной политики	3
ндфл для учетной политики осно	3
ндфл	3
уведомление по ирс на патент	2
оценочные обязательства по отпускам налоговый учет на конец года	3
сзв-стаж за 2023 год	3
расходы для выполнения работ по гпх	3
ст 136 тк	1
удержания из заработной платы в пояснении в трудовую инспекцию	3
письменные пояснения работодателя об удержаниях из заработной платы	2
производятся следующие виды удержаний из заработной платы	3
уведомление в январе	3
алименты с окончательного расчета со смертью работника	3
индексация алиментов по мрот	3
суточные по дгпх	3
материальная помощь в связи с пожаром	3
6-ндфл 2024	2
законопроекты апреля	3
уход за детьми инвалид	3
оплата работникам при увольнении неиспользованные отгулы за работу в выходные	3
подп. 8 п. 1 ст. 101 закона от 02.10.2007 № 229-фз	1
оплата работы в праздники	3
прогрессивная шкала ндфл	3
бухгалтерская справка-расчет по инвентаризации резерва на оплату отпусков	2
акт инвентаризации оценочных обязательств	2
несвоевременным исполнением налоговых обязательств, перечислением налога на доходы физических лиц	3
пояснение по внутридокументные контрольные соотношения показателей формы расчета по страховым взносам	2
организация выплачивает стипендию студентам, ндфл страховые взносы	3
санаторно курортное лечение директору	3
санаторно курортное лечение директору за счет предприятия	3
материальная помощь в связи с пожаром ндфл	3
статья 178 часть 3	1
положение об инвентаризации резерва отпусков	2
инвентаризация оценочных обязательств	3
инвентаризация оценочных обязательств отпусков	3
инвентаризация неиспользованных дней отпуска	3
инвентаризация неиспользованных дней отпуска в конце года	3
ч. 2 ст. 254 тк рф	1
срок сдачи 6-ндфл 2023 год	3
цели задачи расчетного отдела бухгалтерии	3
нужно ли заполнять уплату ндфл в 6-ндфл	3
можно ли прописать в договоре суточные внештатному исполнителю	3
срок использования дней донорства	3
как оплачивается больничный договорнику по гпх	3
компенсация за задержку выплаты как отразить в отчете 6-ндфл	3
нужно ли удержать с компенсации за задержку выплаты зарплаты исполнительные документы	3
перерасчет после начисления годовой премии	3
как исправить снилс в рсв	3
если маму в отпуске по уходу за ребенком попала в больницу	3
управленческий учет работы с контрагентами	3
как считать праздничные дни при сокращении	3
повышенные ставки ндфл с августа	3
можно ли учесть страховые взносы на санкурлечение в налоге на прибыль	3
налоговая реформа&so	3
вычет нормы гто	3
применение северной надбавки	3
профсоюзные взносы удерживаются	3
с каких выплат удерживаются профвзносы	3
ндфл в 2025	3
резерв на оплату отпусков: проводим инвентаризацию	3
заполнение платежного поручения на енп по требованию налоговой	3
как перечислить ненп в ответ на требование налоговой	3
как перечислить единый налоговый платеж в ответ на требование налоговой	3
срок сдачи уведомления ндфл	3
ставка ндфл зарплата за декабрь выдана в январе	3
натуральный доход ндфл	3
ндфл аренда жилого помещения у физического лица	3
как определяется налоговая база по ндфл	3
как заполнить ефс-1 стаж	3
надо ли сдавать уведомление для енп по госпошлине	3
какие выплаты включать в псв	3
дмс страховые взносы	3
образовательная деятельность тариф страховых взносов	3
другой день отдыха табель	3
другой день отдыха за работу в выходной день табель	3
как будем отдыхать в мае.	3
может ли иностранец быть учредителем ооо	3
что меняется в работе бухгалтера с мая.	3
договор с нерезидентом что предоставить в банк	3
кто платит плату за загрязнение окружающей среды	3
существует ли налог на рекламу	3
налог на рекламу	3
какие документы при передаче кассового аппарата в ремонт	3
передача кассового аппарата в ремонт	3
передача в ремонт	3
передача в ремонт через курьера	3
когда используется транспортная накладная	3
курортный сбор санкт-петербург	3
работница поменяла фамилию	3
нужно ли сзв-тд при смене фамилии	3
ночное время	3
смена фамилии	3
освобождение от ндс адвокат	3
ндс адвокат	3
какой указывать кбк в уведомлении по ндфл по ставке 15%	3
высокий квалифицированный иностранный специалист (вкс)	3
зарплата иностранца	3
зарплата иностранца 750 000 рублей до налогообложения?	3
страховые взносы иностранцы	3
что меняется в работе с июля	3
разделение рабочего дня на части	3
шестидневная рабочая неделя	3
работа по вызову работодателя	3
работа по вызову	3
время отдыха	3
время ожидания вызова	3
работа в выходной день	3
продолжительность еженедельного непрерывного отдыха	3
сверхурочная работа	3
можно ли записать в трудовой договор, что работник может привлекаться к сверхурочной работе	3
оплата сверхурочной работы	3
оплата работы в ночное время	3
доплата за разделение рабочего дня на части	3
что такое фрахтование	3
включается ли в расчет среднего заработка для расчета отпускных период командировки	3
можно ли включить в расходы на усн материальную помощь	3
как заполнить 6-ндфл при смене юридического адреса	3
что меняется в работе бухгалтера с октября	3
как ответить на запрос сфр если в больничном лифте ошибка	3
как ответить на запрос сфр если в больничном листе ошибка	3
отличие декретного отпуска от отпуска по уходу за ребенком	3
как оплачивается продолжение листка нетрудоспособности	3
командировка и выход на работу в один день	3
включается ли доплата за работу в выходные дни в командировке в расчет среднего заработка	3
передоверие	3
о чем работодатель должен уведомлять органы занятости населения	3
какие отчеты нужно сдавать в орган занятости населения	3
организация оплачивает арендную плату за квартиру для работника	3
удержание за зарплаты работника арендной платы	3
удержание за зарплаты работника арендной платы за арендованное жилое помещение	3
доля натурального дохода в заработной плате	3
как подать в сведения о свободных рабочих местах и вакантных должностях	3
ндфл суточные однодневная командировка за границей	3
когда возникает доход по суточным по командировке	3
как оплатить госпошлину в суд	3
работа в выходные дни в командировке	3
доплата за сверхурочную работу при суммированном учете рабочего времени	3
как рассчитать норму рабочего времени при суммированном учете рабочего времени	3
исключается ли отпуск из нормы рабочего времени при суммированном учете рабочего времени	3
исключается ли командировка из нормы рабочего времени при суммированном учете рабочего времени	3
туристический налог регионы	3
суточные если норма установлена в валюте	3
суточные если норма установлена в иностранной валюте	3
работник сам оплатил командировку как возместить	3
график отпусков	3
ндфл иностранный работник	3
какие доходы облагаются ндфл на территории российской федерации	3
налог на доходы физических лиц	3
продажа услуг не облагаемых ндс	3
страновой отчет	3
информационное письмо покупателю о ставке ндс на усн с 2025	3
должна ли иностранная организация сдавать налоговую декларацию по ндс	3
должно ли представительство иностранной организации сдавать налоговую декларацию по ндс	3
работник купил продукцию предприятия со скидкой ндфл	3
натуральный доход страховые взносы	3
доход в натуральной форме страховые взносы	3
доходы в натуральной форме включаются в базу для начисления страховых взносов	3
страховые взносы натуральный доход	3
уведомление по выплате заработной платы высококвалифицированному специалисту	3
расчет пособия по временной нетрудоспособности	3
нужно ли сдавать сведения о стаже на высококвалифицированных иностранных работников	3
как изменятся штрафы за нарушение пдд с 1 января 2025 года	3
как иностранной организации, имеющей несколько обособленных подразделений, сдать налоговую декларацию по налогу на прибыль	3
как иностранной организации сдать налоговую декларацию по налогу на прибыль	3
как отдыхаем в феврале 2025	3
займы между взаимозависимыми лицами	3
если не вернуть займ	3
обязательства по невозвращенному займу	3
должностные инструкции отдел кадров	3
от должника юр	3
маркетплейс	3
как ип изменить или дополнить коды ОКВЭД для ооо	3
как рассчитать и взносы кфх	3
какие отчеты сдает кфх зарегистрированный как юр	3
кфх отчетность	3
Доля вычета прибыль	3
налог на прибыль процент по отраслям	3
лизинг	3
лизинг и договор цессии	3
переуступка лизинга	3
строительство	3
ндфл с дивидендов: правила для 2024 года	3
индексация зарплаты с 1 февраля 2024	3
как ип применять патент	3
как ип применять патент торговля бижутерией	3
бизнес карта	3
оплата за третье лицо взносы, налоги	3
пополнение счета организации с карты учредителя	3
займ между юридическими лицами	3
путевой лист	3
взаимозачет между организациями	3
может ли кфх заниматься деятельностью не относящейся к сельскому хозяйству	3
ип проживает за пределами рф	3
резидент или нерезидент? разбираемся в новом выпуске главблога	3
усн доходы	3
обязательный аудит для ооо	3
срок уплаты усно	3
лизинг включать амортизационные	3
беспроцентный займ	3
беспроцентный займ своему ип	3
услуги консультации	3
форма № торг-2	3
утеря товара	3
утеря товара у продавца	3
усно когда признается доход по реализации без оплаты	3
кто сдает налоговые расчеты доходов, выплаченных иностранным компаниям ?источник	3
пояснения когда ип продал личную квартиру	3
применения 0 ставки ндс	3
как подтвердить нулевую ставку ндс при экспорте в страны еаэс	3
усно 6 процентов для ип	3
усно 6 процентов для ип 2024	3
сроки уплаты усно 2024	3
фиксированные взносы 2024 за себя	3
разблокировать счет	3
продажа товара в кредит через банк	3
пояснение отсутствия документов по требованию	2
налог с выплат иностранным	3
подготовка к допросу	3
выплата бонусов	3
таможенные пошлины и сборы	3
учет ос до 100000	3
выкуп товаров у селлера	3
выкуп товаров у селлера маркетплейсом	3
выкуп товаров маркетплейсом при продаже в страны еаэс	3
ежемесячные авансовые платежи по налогу на прибыль	3
как выбрать ставку по ндс на усн с 2025 года	3
ип на нпд	3
ставка усно белгород	3
как возмещать ндс по ос	3
может ли один человек быть директором в двух организациях	3
прибыль в подразделениях	3
списание дебиторской задолженности	3
списание дебиторской задолженности при ликвидации должника	3
как часто должны делать инвентаризацию расчетов	3
списание кредиторской задолженности в декларации на прибыль	3
пробить чек коррекции	3
если не выбили чек	3
ос продажа с убытком	3
срок полезного использования автомобиля	3
продажа битого автомобиля	3
пояснение к ндс	3
нко отчетность	3
как пояснить ошибку с кодами 1-9 в декларации по ндс	3
какую нулевую отчетность сдает ооо	3
нпд превысил лимит	3
самозанятый превысил лимит	3
нпд	3
изменения в 2025 для ооо	3
как отдыхаем в декабре 2024 года	3
прогноз по ключевой ставке	3
гороскоп 2025	3
сроки выплаты зарплаты за декабрь 2024	3
надо ли индексировать зарплату в связи с повышением мрот	3
какие изменения 2025 года нужно внести в штатное расписание	3
на какую дату индексировать зарплату	3
как скорректировать пвтр на 2025 год	3
как сдать форму 2-тп (отходы)	3
отказ от индексации: как прописать в локальном акте	3
какие последствия могут возникнуть при несвоевременной уплате налогов и взносов	3
Самое важное для собственников бизнеса	3
Самое важное для ип и ооо	3
может ли ип вернуть подоходный налог	3
может ли ип получить вычет на лечение	3
какие изменения для ип и ооо	3
какие изменения для в 2025 году для ип и ооо	3
что полезно знать ип и ооо	3
ваш календарь 2025	3
маркировка рекламы	3
Банки и ип, ооо	3
что нового для ип	3
инструмент для автоматизации процессов в малом бизнесе	3
все для ип и ооо	3
сроки сдачи отчетности за 2023 год в 2024 году	3
исправления в отчете о страховом стаже	3
сроки сдачи и коды периодов для уведомлений по енп в 2024 году	3
сроки сдачи и коды периодов для уведомлений по енп в 2023 году	3
сроки сдачи уведомления за 2023	3
сроки сдачи уведомления за 2023 по налогу на имущество	3
компенсация при сокращении	3
что такое выходное пособие	3
если нет денег на выплату выходного пособия	3
облагаются ли ндс отклонения курса продажи и покупки иностранной валюты	3
облагаются ли ндс проценты по банковским депозитам	3
облагаются ли ндс резервы на отпуска	3
облагаются ли ндс доход от списания резервы на отпуска	3
облагаются ли ндс с дохода от списания резервы на отпуска	3
облагаются ли ндс с прочего дохода при инвентаризации резерва на отпуска	3
облагаются ли ндс сумма резерва на оплату отпусков на избыточную разницу	3
ндс с сумма резерва на оплату отпусков на избыточную разницу	3
международный страховой полис	3
международный страховой полис в командировке	3
страховой полис в командировке	3
компенсация оплаты страхового полиса в командировке	3
облагается ли ндфл компенсация оплаты страхового полиса в командировке	3
облагается ли ндфл с компенсации страхового полиса в командировке	3
облагается ли ндфл затраты на страхового полиса в командировке	3
облагается ли ндфл обязательное страхование	3
облагается ли ндфл обязательное страхование в командировке	3
покупка исключительных прав на товарный знак у иностранной компании	3
покупка нематериального актива у иностранной организации	3
импорт нематериального актива у иностранной организации	3
облагается ли ндс импорт нематериального актива у иностранной организации	3
облагается ли ндс импорт услуг иностранной организации	3
облагается ли ндс импорт, если не проходит таможню	3
облагается ли ндс импорт технической документации	3
облагается ли ндс импорт нематериального актива?	3
материальная выгода по ндфл возвращается. как удерживать налог в 2024 году	3
начислена зарплата за март, выплачена в апреле	3
начислена зарплата за март, выплачена в апреле в 6-ндфл	3
вычеты на детей	3
материальная выгода от экономии на процентах по займу	3
как оплатить больничный во время отпуска	3
сведения в сфр для оплаты больничного	3
срок оплаты ндс по товарам из еаэс	3
зачет ндс с аванса от поставщика	3
зачет ндс с аванса от поставщика без договора	3
должность сотрудника в мчд.	3
учет расходных материалов для выставки	3
зарплата и пособие по нетрудоспособности одновременно.	3
пособие на погребение в связи со смертью сотрудника	3
умер сотрудник	3
пособие на погребение в 2024 году	3
как закрыть больничный после смерти сотрудника	3
обеспечение заявки	3
сзв стаж указывается по всем сотрудникам за 2024	3
ставка по налогу на прибыль 2025	3
суточные на 2025 год	3
размер суточные на 2025 год	3
что должно попасть в уведомление по ндфл с 23 по 31 декабря	3
размеры пособий в 2024 году.	3
как считается материальная выгода от экономии на процентах	3
выручка по договору аренды когда признается	3
расходы по договору аренды когда признается	3
прожиточный минимум санкт-петербург	3
что будет если самозанятый не предоставил чек	3
усн с доходов уменьшается на сумму страховых взносов с превышения	3
нужно ли сдавать приложение 4 к листу 02 за 1 квартал 2024	3
нужно ли сдавать приложение 4 к листу 02 налога на прибыль за 1 квартал 2024	3
штраф за не утвержденную бухгалтерскую отчетность	3
штраф за заключение с оговоркой	3
ключевая ставка.	3
умный график отпусков.	3
уведомления енп 28 декабря	3
правила начисления отпуска	3
изменение списка	3
в чем разница между учетом капвложений	3
какими проводками откорректировать начисление резерва по оплате отпусков	3
форма 0710003 кто заполняет	3
форма 0710003 кто сдает	3
корректировка реализации в сторону уменьшения возникает ли аванс	3
корректировка реализации	3
какой штраф за несвоевременное предоставление сведений по запросу сфр	3
резервы под будущие платежи	3
приложение 5 к балансу как заполнить	3
пояснения. раздел 5 к балансу как заполнить	3
пояснения. к балансу как заполнить	3
остаточная стоимость по земле в налоговом учете	3
земля в налоговом учете	3
модернизация основного средства по фсбу 6/2020	3
модернизация основного средства в налоговом учете	3
взносы на травматизм платите по новым реквизитам	3
как исправить авансовый отчет	3
как исправить авансовый отчет за прошлый год	3
как исправить ошибки авансовый отчет за прошлый год	3
исправление ошибок прошлых лет в авансовом отчете	3
инвентаризация кредитов и займов	3
как рассчитать среднемесячную заработную плату по сотруднику	3
срок уплаты налога на прибыль	3
срок уплаты налога на прибыль за 2023	3
срок уплаты налога на прибыль в 2024	3
инвентаризация товаров	3
инвентаризация готовой продукции	3
инвентаризация готовой продукции при ее отсутствии	3
как оформить расчет резервов отпусков	3
процент взносов c превышения	3
3. допущения, использованные при определении переменных арендных платежей	3
допущения, использованные при определении переменных арендных платежей	3
нематериальные активы как перейти	3
начисление резерва под обесценение	3
как оценить излишки	3
если товар не прослеживаемый какой счет-фактура	3
если товар непрослеживаемый какой счет-фактура	3
уплата налога на имущество за 2023	3
уплата налогов за 2023	3
срок сдачи налога на доходы	3
срок сдачи ндфл	3
как считать надбавку за ученую степень согласно отработанному времени или нет	3
как рассчитать надбавку за ученую степень согласно отработанному времени или нет	3
как рассчитать надбавку за ученую степень	3
надбавка за ученую степень рассчитывается пропорционально отработанному времени или нет	3
сроки оплаты взносов в 2024	3
передача исполнителю оборудования для выполнения договора	3
передача основного средства в пользование	3
передача оборудования с возвратом	3
сроки сдачи отчетности за январь 2024	3
расходы за сведения ЕГРН	3
учет расходы за сведения егрн	3
плата за предоставление информации о зарегистрированных правах	3
расходы за плата за предоставление информации о зарегистрированных правах	3
расходы за выписку ЕГРН	3
в какие сроки работодатель обязан передать сведения по больничному после перерасчета	3
что делать если сфр прислал по выплате оказано фондом	3
сзв-стаж при присоединении	3
налог на землю	3
налог на имущество 2024	3
штрафы за сзв-стаж	3
как подавать сзв-стаж при реорганизации	3
как создать новое юридическое лицо	3
порядок регистрации юридическое лицо	3
6-ндфл срок сдачи	3
6-ндфл штраф	3
6-ндфл административный штраф	3
срочный трудовой договор или договор гпх	3
налоги при гпд	3
сведения о заработной плате	3
получить налоговые вычеты	3
постановление правительство рф 11 02 2017 176	1
постановление 176 11 02 2017	1
распоряжение правительство 04 07 2023 1777 р	1
постановление правительство 30 03 2023 510	1
постановление правительство 176 11 02 2017	1
распоряжение правительство рф 12 11 2020 n 2949 р	1
распоряжение правительство 11 12 2023 3550 р	1
постановление правительство рф 16 09 2020 n 1479	1
постановление правительство рф 16 09 2020 1479	1
постановление правительство рф 14 02 2009 112 ред 21 02 2020	1
постановление правительство рф 12 июнь 2008 год 455	1
постановление правительство рф 11 февраль 2017 n 176	1
постановление правительство рф 03 04 2024 415	1
постановление правительство рф 02 11 2000 841	1
постановление правительство рф 02 08 2019 n 1006	1
постановление правительство российский федерация 11 февраль 2017 176	1
постановление правительство рф 17 февраль 2024 год 181	1
постановление правительство рф 878 10 07 2019	1
постановление правительство рф 29 12 2021 n 2571	1
постановление правительство рф 27 06 2016 584	1
постановление правительство 491 13 08 2006	1
постановление правительство 317 22 11 2006	1
постановление правительство 30 11 1992 919	1
постановление правительство 3 04 2024 417	1
пп рф 29 12 2021 2571	1
постановление 792 12 06 2024	1
постановление 729 02 10 2002	1
пп рф 2464 24 12 2021	1
постановление правительство рф от01 01 2002г 1	1
постановление правительство рф 5 август 2008 583	1
постановление правительство рф 551 17 06 2016	1
постановление правительство рф 27 12 2004 861	1
